set,horizon,A,B,scheme,block,point,lo95,lo90,hi90,hi95,p_sign,n
full11,20,pc2_gbt,ou_seqcal,episode_segments,,0.10210212680084112,-0.046923102767644304,-0.031190121107659122,0.28065877287935787,0.3100801778607311,0.224,2906
full11,20,raw_logistic,ou_seqcal,mbb,5.0,0.04656418920302017,0.013588122131902525,0.01819111639055866,0.08310756716747277,0.09055769413910697,0.004,2906
full11,20,raw_logistic,ou_seqcal,mbb,10.0,0.04656418920302017,-0.0008515793422185981,0.005848340960804033,0.09424127904901416,0.10240197754325622,0.056,2906
full11,20,raw_logistic,ou_seqcal,mbb,20.0,0.04656418920302017,-0.01854274981575195,-0.009284095205107906,0.11248781964653073,0.12432780456409333,0.196,2906
full11,20,raw_logistic,ou_seqcal,mbb,40.0,0.04656418920302017,-0.027791340853412085,-0.016401139809898293,0.14515573519934002,0.16842164579870442,0.212,2906
full11,20,raw_logistic,ou_seqcal,mbb,60.0,0.04656418920302017,-0.033632181413914025,-0.022828626835974412,0.1652161141260949,0.19922961671058986,0.28,2906
full11,20,raw_logistic,ou_seqcal,stationary,10.0,0.04656418920302017,-0.003947737624581845,0.0031203155969358265,0.10661876996254652,0.12424491003065533,0.08,2906
full11,20,raw_logistic,ou_seqcal,stationary,20.0,0.04656418920302017,-0.0155644359901078,-0.008385177611308189,0.12203059781038084,0.14112108681575367,0.168,2906
full11,20,raw_logistic,ou_seqcal,stationary,40.0,0.04656418920302017,-0.02578686399373059,-0.01744082528343508,0.14198395289005228,0.16784201572653468,0.308,2906
full11,20,raw_logistic,ou_seqcal,episode_segments,,0.04656418920302017,-0.06452943958855449,-0.056749407349008574,0.18500308425033585,0.21394795868656855,0.668,2906
no_option9,5,pc2_logistic,ou_seqcal,mbb,5.0,0.027186679803795855,-0.06305877750090824,-0.05286459085063507,0.10526355765237896,0.12791582812418978,0.652,2910
no_option9,5,pc2_logistic,ou_seqcal,mbb,10.0,0.027186679803795855,-0.08232582533674328,-0.06532347184572801,0.13021313462489148,0.1533807680380675,0.62,2910
no_option9,5,pc2_logistic,ou_seqcal,mbb,20.0,0.027186679803795855,-0.08334743278577166,-0.06829539057857274,0.14849348383412364,0.17888486969719322,0.64,2910
no_option9,5,pc2_logistic,ou_seqcal,mbb,40.0,0.027186679803795855,-0.095354333377725,-0.06893374428452864,0.13398072742483377,0.15522178480847582,0.624,2910
no_option9,5,pc2_logistic,ou_seqcal,mbb,60.0,0.027186679803795855,-0.08714524581743426,-0.06878404923041988,0.1163969706926427,0.1292646353373193,0.596,2910
no_option9,5,pc2_logistic,ou_seqcal,stationary,10.0,0.027186679803795855,-0.07700961282753906,-0.05917867469181049,0.11534914165514693,0.14753238711912758,0.672,2910
no_option9,5,pc2_logistic,ou_seqcal,stationary,20.0,0.027186679803795855,-0.07432004431842139,-0.06603428685439118,0.12017569820266327,0.13810721828135977,0.684,2910
no_option9,5,pc2_logistic,ou_seqcal,stationary,40.0,0.027186679803795855,-0.07063765809200989,-0.05936012297820503,0.1101643797493314,0.1240516573905794,0.692,2910
no_option9,5,pc2_logistic,ou_seqcal,episode_segments,,0.027186679803795855,-0.07146188534384204,-0.06179195234152385,0.1077523284684326,0.12573591272979914,0.66,2910
no_option9,5,pc2_gbt,ou_seqcal,mbb,5.0,0.01934960371987979,-0.042550652038345065,-0.0326124894655052,0.07118180152892085,0.09254135532463606,0.576,2910
no_option9,5,pc2_gbt,ou_seqcal,mbb,10.0,0.01934960371987979,-0.04695513039702846,-0.03685308015222951,0.07106747884151979,0.08146018785147226,0.564,2910
no_option9,5,pc2_gbt,ou_seqcal,mbb,20.0,0.01934960371987979,-0.0496775132604339,-0.03580989543047561,0.07466407263557012,0.08218628477815168,0.556,2910
no_option9,5,pc2_gbt,ou_seqcal,mbb,40.0,0.01934960371987979,-0.04439235896177205,-0.034007458797468075,0.06632477909597402,0.07394018523324561,0.52,2910
no_option9,5,pc2_gbt,ou_seqcal,mbb,60.0,0.01934960371987979,-0.02486994448198345,-0.01988543759608007,0.06050900338891989,0.07145228196482863,0.336,2910
no_option9,5,pc2_gbt,ou_seqcal,stationary,10.0,0.01934960371987979,-0.036673507791218814,-0.028229887946411267,0.06272167279871356,0.07123292212402726,0.54,2910
no_option9,5,pc2_gbt,ou_seqcal,stationary,20.0,0.01934960371987979,-0.0367459147177206,-0.02714701023714313,0.06732621359175736,0.07731546578737394,0.484,2910
no_option9,5,pc2_gbt,ou_seqcal,stationary,40.0,0.01934960371987979,-0.02755600219672703,-0.01935978001538195,0.056613661334351285,0.0656707921632198,0.356,2910
no_option9,5,pc2_gbt,ou_seqcal,episode_segments,,0.01934960371987979,-0.03303364062694925,-0.02385229633885907,0.06254045385454496,0.07272786718221165,0.472,2910
